id,name,email,created_at,score
e33bf771-d95a-43b7-831e-e420acf01288,WOatED,zzqqv@mail.com,2025-03-22T21:16:47.101840,57.98
9013ea02-4c25-4d12-a1ab-68e3c179b9ad,qJtWuX,yybcz@mail.com,2025-03-22T21:16:47.101881,97.42
dc13f74f-1c02-406d-a4eb-14caf820383f,RQAxou,lwdrq@mail.com,2025-03-22T21:16:47.101901,62.49
a4a72533-3060-400a-9d8e-c5acb8c3d86c,UbDksN,stexq@mail.com,2025-03-22T21:16:47.101918,74.49
a5d07d60-b72c-451e-ac1f-46f28450082d,orcSDJ,orxqo@mail.com,2025-03-22T21:16:47.101935,68.03
8c1bf05f-c6fa-49a4-b113-65d9c301b56e,HLZZri,ronin@mail.com,2025-03-22T21:16:47.101951,76.28
4894c7f8-869a-460c-acdc-783acc3a5237,WDSwFf,qvjdl@mail.com,2025-03-22T21:16:47.101966,94.62
83f1b2b5-8837-47fd-a718-dffe5887703f,DtKkxz,bkwsw@mail.com,2025-03-22T21:16:47.101980,89.53
780da61e-51fc-41f4-a604-2b1eafe7d093,VQYOfl,yhvdx@mail.com,2025-03-22T21:16:47.101994,56.0
bfdbee55-71fc-46d1-9485-6712fae65761,BwuFPJ,kdzmi@mail.com,2025-03-22T21:16:47.102034,69.28
d74e8c07-aa3f-419a-b9f3-569897d713f2,RnncrV,uusox@mail.com,2025-03-22T21:16:47.102409,64.88
1ebce65c-1410-47af-8d2c-a5818338224d,APbevz,ydixy@mail.com,2025-03-22T21:16:47.102431,92.23
14d0a283-9482-451e-a94b-fe6de5ac7f5d,HEQBDa,iwnlx@mail.com,2025-03-22T21:16:47.102445,67.75
a6e74e84-3c5f-4f7f-9ec3-348aa54482e8,kImoWU,iadnm@mail.com,2025-03-22T21:16:47.102489,65.49
4870c895-1400-4821-9db3-d7a54f2792db,zlPORo,ynsga@mail.com,2025-03-22T21:16:47.106345,77.37
